id,Event Name,Fun Activity,City,Date,Time,Location,Ticket Price
,,,,,,,
1,The Sacred Heart Cathedral – Midnight Mass Celebrations,"Dance,Music",Delhi,24th December,11 pm onwards,"1, Ashok Place, Near Gole Dak Khana,  New Delhi",4750
2,RSVP Nightclub – Christmas Carnival,"Dance,Music",Delhi,Starting from 24th December midnight,11 pm onwards,RSVP Nightclub – Christmas Carnival,"1,500"
3,Odd Even – Jingle Day Jam 2022,"Dance,Music",Delhi,25th December,11.10  pm onwards,"Odd Even, Saket, New Delhi","1,200"
4,The Umrao – Christmas Eve With Santa,"Dance,Music",Delhi,24th December midnight,11.10  pm onwards,"National Highway – 8, Samalkha, New Delhi","7,999"
5,Taj City Centre – Luxurious Christmas Eve,"Dance,Music",Delhi,24th December midnight,11.10  pm onwards,"Plot No.1, Sector 44, Gurugram","2,499"
6,Jazbaa Lounge – Christmas Celebration With Friends,DJ night with Tatva K,Delhi,24th December midnight,11 pm onwards,"F-89, Vishal Enclave, Rajouri, Garden, New, Delhi","2,499"
7,Zerruco Kitchen And Bar – Christmas Eve Party,DJ night,Delhi,24th December midnight,11 pm onwards,"The Ashok, 50 B, Diplomatic Enclave, Chanakyapuri, Delhi","2,499"
8,Sky Lounge – White Christmas Party,DJ night,Delhi,24th December,9 pm onwards,"19, Ashoka Road, New Delhi",499
9,A Grand Christmas Affair,Big celebrations and gift,Banglore,24th December,10 pm onwards,"No. 8/1, Chunchunkuppe, Tavarakere, Near Big Banyan Tree, Bengaluru, Karnataka 562130, India","2,359"
10,CHRISTMAS EVE GRAND PARTY -GRAND CELEBRATION,Big celebrations and gift,Banglore,"24th December ,25th December",11 pm onwards,"Ashoka Tower, 5th Main Rd, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India",199
11,One Night In Vegas - New Year 2023,"Dj Night,Bollywood Night",Banglore,"24th December ,25th December",6:00 PM,Catch Up Bangalore • HSR Layout • Bangalore,29999
12,RiverCruise CHRISTMAS CELEBRATION ON VESSEL 2022,Christmas cake slicing on vessel  LIVE BAND on board  Live SANTA to distribute gifts Magician & Puppet show on board Photo with Live Exotic Bird,Kolkata      ,Dec 25 2022,5:00 pm to 9:00 pm," Millennium Park, Strand Road,Bara Bazar,B.B.D. Bagh, Kolkata    ","2,050"
13,Jingle Ball Evening     ," Unlimited Packages with Premium Liquor & Food Fire gun & Bar Flaring,Bollywood & Commercial Music Kolkata    
",Kolkata      ,Dec 24 2022,8:00pm to 2:00am,"Haute Street Corporate Park, 86A, Topsia Road,6th Floor,Kolkata, West Bengal 700046, India",1500
14,Christmas Celebration on Cruiseliner                      ,Christmas cake slicing on vessel  LIVE BAND on board  Live SANTA to distribute gifts Magician & Puppet show on board Photo with Live Exotic Bird,Kolkata      ,Dec 25 2022,5:00 pm to 9:00 pm,"West Bengal Tourism Jetty, Babu ghat,Kolkata, India, Kolkata, India","2,050"
15,Christmas Eve Celebration I Princeton Club,"Magician & Puppet show on board, Photo with Live Exotic 
                                 BirdPhoto  
",Kolkata      ,Dec 24 2022,2:30 pm to 8:30 pm,"Princeton Club, Kolkata, India   ",1999
16,Christmas Party 2022 ,"Best Christmas Themed DÃ©cor Party, Best Artists in the town,Bollywood & Commercial Music",Kolkata      ,Dec 25 2022,6:00 PM,"Sabka Club: Kolkata, Kolkata, India",2000
17,Light My Fire I Christmas  Celebration Some Place Else I The Park,"Dance,Music",Kolkata      ,Dec 24 2022,2:30pm to 8:30pm ,"Someplace Else, Kolkata, India     ",2999
18,Christmas Party I Afraa Lounge I Kolkata,Enjoy Christmas Party with DJ RNation at Afraa Lounge,Kolkata      ,Dec 25 2022,2:30 pm to 7:30 pm,"Afraa Lounge, Kolkata, India  ",2999
19,PARTY ON THE BOAT 2023,"Dance,Music",Kolkata      ,Dec 31 2022,8:00 pm to 12:30 am,"Strand Rd, B.B.D. Bagh, Kolkata, West Bengal 700021, India",3999
20,Backpackers Himachal New Year ,Best Manali New Year Party with DJ Dance Campfire Night &   Delicious meals along with drinks and beverages.,Kolkata      ,Dec 29 2022 to  jan 11 2023,5:00 am to 10:00 am,"J92M+P72, Kolkata Station Rd, Belgachia, Kolkata, West Bengal 700004, India",3999
21,Party Group Trip From Kolkata ,"Dance,Music",Kolkata      ,Dec 31 2022,8:00 pm to 2:00 am,"Vivada Jetty,13, Strand Road, Millenium Park Main Gate, opposite to shipping corporation of india, Kolkata, West Bengal 700001, India",1770
22,31st Nite on Cruises by Vivada Cruises  ,"Dance,Music",Kolkata      ,Dec 31 2022,8:00 PM,"Vivada Jetty,13, Strand Road, Millenium Park Main Gate, opposite to shipping corporation of india, Kolkata, West Bengal 700001, India",1770
23,Durbaar Night 2.0 @ Holiday Inn Kolkata Airport,"Dance,Music",Kolkata      ,Dec 31 2022,9:00 PM,"Biswa Bangla Sarani, near City Centre 2, Dash Drone, Newtown, Kolkata, West Bengal 700136, India",4000
24,PRE XMAS Bash,"open floor to dance at grooving music, unlimited drinks, and mouth watering dishes. DJ Ann will Play the Console on this Pre Christmas Bash.",Pune,Dec 24 - 25,7:00 PM,"Cafe CO2, Mulshi Road, Bhugaon, Pune, Pune, India",Free
25,BIG PRE CHRISTMAS BASH,"Its gonna be A Dazzling party this Christmas Weekend with booming beats, good food, drinks, Santa Gifts and of course, endless fun.",Pune,Dec 24 - 25,8:00 PM,"Mashup - Rooftop & Lounge Bar Hinjewadi Phase 1 Road, Hinjawadi Village, Hinjawadi, Pune, Pune, India",Free
26,CARBON MANIA 2.0,Bid adieu to 2022 with a grand Party at the Cafe CO2 Carbon Mania 2.0 2023,Pune,Dec 31'22 - Jan 01'23,7:00 PM,"Cafe CO2 Angrewadi. Manas lake, Gat No. 336, Mulshi Rd, Bhugaon, Pune, Maharashtra 412115, Pune, India",Free
27,DOGGIE BAZAAR DOGGIE CHRISTMAS PARTY 2022 - PUNE EDITION,The coolest doggie parties are back with the biggest party of the year - the Doggie Christmas Carnival !! ,Pune,Dec-24,11:00 AM," Blue Diamond, Pune - IHCL SeleQtionsKoregaon Park Road, Vasani Nagar, Koregaon Park, Pune, Pune, India",Free
28,CHRISTMAS SPECIAL,Its Christmas time and here we are with a kids special paint party.,Pune,Dec-24,3:00 PM,"CAFE PETER Pan Card Club Road, Baner, Pune, India",800
29,The Annual Christmas Carnival,"Unwrap the gift of Celebration with Santa, Super K and Elves.",Pune,Dec-24,11:00 AM,"Crossword Ozone, ITI Road, Anand Park, Aundh, Pune, Maharashtra, Pune","3,000"
30,XMAS Sunday Night Party,Performing live for the evening will be DJ Shubham,Pune,Dec 25 - 26,7:00 PM,"Cafe CO2 Mulshi Road, Bhugaon, Pune, Pune, India",Free
31,BIG CHRISTMAS WEEKEND BASH,"Dance,Music",pune,Date:Dec 25 - 26 ,8:00 PM,"Mashup - Rooftop & Lounge Bar Hinjewadi Phase 1 Road, Hinjawadi Village, Hinjawadi, Pune, Pune, India",Free
32,Imagicaa New Year Bash 2023 | NYE 2023,"Dance,Music",mumbai,"Dec 31, 2022 - Jan 1, 2023 ",10:00 AM,"Imagicaa, 30/31 Sangdewadi, SH92, near Lonavala, Khalapur, Maharashtra 410203, India, Khopoli, India",2058
32,The Lalit Mumbai - Grand New Year Festival 2023 | NYE 2023,"Dance,Music",mumbai,"Dec 31, 2022 - Jan 1, 2023 ", 9:00 pm to  03:00 am,"The lalit , ·      AddSahar Airport Road, Andheri East, Opp. Hotel Leela, Near International Airport, Mumbai, Maharashtra 400059, Mumbai, India",3599
,31st party,"Dance,Music",mumbai,"Dec 31, 2022 - Jan 1, 2023 ", 9:00 pm to  03:00 am,"Panvel,New Mumbai,Maharshta, Matharan Road, Sukhapoor New Panvel,Navi Mumbai, India, Navi Mumbai, India",3599
,lalbaugh,"Dance,Music",mumbai,"Dec 30, 2022 ",10:00 AM,"lalbugh ,mumbai",2058
,31st New Year Part,"Dance,Music",mumbai,"Dec 31, 2022 - Jan 1, 2023 ",4:00 AM,"Boisar, Vasant Sudha Farms , Nandgoan beach , Boisar, Thane, India",2500
